code,name,market,bars,trend_frac,a_net,a_pf,a_dd,a_tr,a_win,a_rdd,t_net,t_pf,t_dd,t_tr,t_rdd
1101,台泥,上市,6573,0.20797200669405141,-44.89,0.803,66.75,72,31.94,-0.673,-71.94,0.757,83.99,145,-0.857
1102,亞泥,上市,6573,0.21223185759926974,-32.16,0.858,55.21,84,46.43,-0.582,-69.71,0.742,78.06,150,-0.893
1103,嘉泥,上市,6573,0.26639281910847407,41.2,1.143,58.44,71,50.7,0.705,-4.46,0.983,58.46,106,-0.076
1104,環泥,上市,6573,0.2606115928799635,143.27,1.402,53.2,75,42.67,2.693,68.42,1.198,57.77,100,1.184
1108,幸福,上市,6573,0.27141335767533853,38.36,1.097,55.7,78,39.74,0.689,69.85,1.132,50.57,96,1.381
1109,信大,上市,6573,0.23064049901110603,-52.1,0.654,67.71,79,40.51,-0.769,-62.69,0.589,71.21,97,-0.88
1110,東泥,上市,6573,0.16339570972158832,-68.25,0.602,74.46,86,46.51,-0.917,-76.64,0.638,84.25,101,-0.91
1201,味全,上市,6573,0.2012779552715655,-47.01,0.746,68.6,84,39.29,-0.685,-27.76,0.901,57.58,111,-0.482
1203,味王,上市,6573,0.20219078046554084,129.2,1.335,50.45,69,53.62,2.561,-14.73,0.961,59.69,112,-0.247
1210,大成,上市,6573,0.2078198691617222,-38.44,0.798,54.24,78,41.03,-0.709,-55.92,0.696,61.9,124,-0.903
1213,大飲,上市,6573,0.17328464932298798,-58.5,0.794,78.33,61,34.43,-0.747,-37.67,0.897,71.86,94,-0.524
1215,卜蜂,上市,6573,0.22942339875247222,6.09,1.025,59.96,81,39.51,0.102,92.92,1.267,55.74,114,1.667
1216,統一,上市,6573,0.13996652974288756,-41.0,0.808,67.96,77,42.86,-0.603,-74.74,0.693,85.6,132,-0.873
1217,愛之味,上市,6573,0.2000608550129317,-59.75,0.776,81.0,72,26.39,-0.738,-60.43,0.812,80.44,113,-0.751
1218,泰山,上市,6573,0.22607637304122927,-26.23,0.904,58.59,80,33.75,-0.448,-33.29,0.928,69.54,118,-0.479
1219,福壽,上市,6573,0.16263502205994218,42.33,1.117,66.33,69,42.03,0.638,-49.4,0.834,74.86,103,-0.66
1220,台榮,上市,6573,0.17724022516354784,-32.35,0.849,64.35,72,37.5,-0.503,-49.08,0.757,58.09,92,-0.845
1225,福懋油,上市,6573,0.24904914042294235,-20.94,0.897,77.82,85,38.82,-0.269,0.47,1.002,67.34,124,0.007
1227,佳格,上市,6573,0.19549672904305493,129.21,1.363,48.56,67,43.28,2.661,59.82,1.138,59.72,104,1.002
1229,聯華,上市,6573,0.2470713525026624,54.57,1.253,63.39,83,46.99,0.861,64.31,1.262,47.98,118,1.34
1231,聯華食,上市,6573,0.22607637304122927,66.04,1.221,48.74,76,36.84,1.355,25.74,1.082,50.22,123,0.513
1232,大統益,上市,6573,0.19336680359044575,39.94,1.189,37.2,77,42.86,1.074,-2.0,0.992,39.86,122,-0.05
1233,天仁,上市,6573,0.1401186672752168,-40.65,0.72,57.88,59,37.29,-0.702,-40.38,0.775,61.28,93,-0.659
1234,黑松,上市,6573,0.2180130838277803,33.91,1.16,36.87,71,39.44,0.92,-36.56,0.824,63.72,105,-0.574
1235,興泰,上市,6573,0.22120797200669406,89.01,1.176,63.21,90,50.0,1.408,47.55,1.08,66.58,153,0.714
1236,宏亞,上市,6573,0.17328464932298798,52.4,1.183,49.07,63,47.62,1.068,152.82,1.299,50.78,94,3.009
1240,茂生農經,上櫃,2159,0.14265863825845299,24.15,1.394,28.48,19,52.63,0.848,15.01,1.184,36.31,33,0.413
1256,鮮活果汁-KY,上市,3354,0.2579010137149672,54.02,1.236,59.66,37,37.84,0.905,129.3,1.368,55.96,56,2.311
1259,安心,上櫃,3532,0.1438278595696489,-14.47,0.696,28.44,30,43.33,-0.509,-34.03,0.557,43.73,45,-0.778
1264,德麥,上櫃,2996,0.21695594125500667,-10.63,0.789,31.34,33,36.36,-0.339,12.21,1.196,32.25,38,0.379
1268,漢來美食,上櫃,2539,0.23867664434816857,-24.2,0.586,31.1,30,43.33,-0.778,-38.93,0.485,44.84,37,-0.868
1301,台塑,上市,6573,0.18575992697398447,-80.26,0.557,82.13,83,39.76,-0.977,-91.92,0.508,92.83,142,-0.99
1303,南亞,上市,6573,0.21238399513159897,-29.33,0.841,56.2,72,38.89,-0.522,-27.7,0.901,62.15,143,-0.446
1304,台聚,上市,6573,0.21512247071352503,164.99,1.321,48.96,66,48.48,3.37,108.18,1.173,59.45,110,1.819
1305,華夏,上市,6573,0.25741670470104977,324.41,1.521,50.82,71,46.48,6.384,621.66,1.543,51.93,97,11.971
1307,三芳,上市,6573,0.21390537045489122,157.27,1.231,52.35,74,39.19,3.004,60.81,1.118,46.73,110,1.301
1308,亞聚,上市,6573,0.22136010953902327,-46.71,0.823,72.55,86,39.53,-0.644,-16.44,0.96,64.4,112,-0.255
1309,台達化,上市,6573,0.2523961661341853,11.76,1.04,81.01,69,30.43,0.145,129.44,1.253,73.74,103,1.755
1310,台苯,上市,6573,0.22105583447436483,-59.89,0.818,78.1,77,35.06,-0.767,-83.68,0.72,90.94,119,-0.92
1312,國喬,上市,6573,0.25087479081089303,-7.61,0.984,67.93,75,41.33,-0.112,-5.69,0.991,69.29,112,-0.082
1313,聯成,上市,6573,0.22425072265327856,-23.04,0.93,74.41,76,39.47,-0.31,-74.69,0.766,88.69,125,-0.842
1314,中石化,上市,6573,0.23961661341853036,39.92,1.075,62.88,75,40.0,0.635,76.74,1.091,66.69,115,1.151
1315,達新,上市,5076,0.18932230102442868,-35.48,0.799,66.71,64,31.25,-0.532,-3.21,0.987,55.84,103,-0.057
1316,上曜,上市,6573,0.23961661341853036,696.79,1.453,64.63,73,43.84,10.781,75.89,1.086,68.53,96,1.108
1319,東陽,上市,6573,0.2078198691617222,23.15,1.091,54.85,68,42.65,0.422,28.48,1.093,60.72,121,0.469
1321,大洋,上市,6573,0.24783204016430854,18.35,1.039,62.29,74,36.49,0.295,31.99,1.05,67.46,104,0.474
1323,永裕,上市,6573,0.2059942187737715,113.97,1.265,45.96,74,40.54,2.48,78.42,1.152,54.94,86,1.427
1324,地球,上市,6573,0.16856838582078199,-46.91,0.813,72.81,71,30.99,-0.644,-44.05,0.884,77.99,114,-0.565
1325,恆大,上市,6573,0.23383538719001978,1609.62,2.369,53.63,67,50.75,30.014,929.6,1.59,50.37,93,18.455
1326,台化,上市,6573,0.16902479841776966,-20.5,0.932,72.28,71,40.85,-0.284,-46.13,0.903,83.37,128,-0.553
1336,台翰,上櫃,4517,0.23688288687181758,-66.83,0.629,70.29,52,28.85,-0.951,-49.55,0.748,54.75,70,-0.905
1337,再生-KY,上市,3616,0.230641592920354,-64.86,0.487,72.61,34,26.47,-0.893,-63.57,0.563,74.53,51,-0.853
