code,name,market,bh,l_net,l_pf,l_dd,l_tr,l_rdd,ls_net,ls_pf,ls_dd,ls_tr,ls_rdd,short_trades
1101,台泥,上市,53.66035772911122,-5.64,0.802,15.8,56,-0.357,-1.51,0.967,16.41,101,-0.092,46
1102,亞泥,上市,203.25503213084608,-6.73,0.728,12.16,51,-0.553,-15.69,0.642,20.64,86,-0.76,38
1103,嘉泥,上市,69.25650063744153,12.3,1.536,7.42,54,1.658,5.27,1.153,12.84,84,0.41,32
1104,環泥,上市,704.0673634093167,-1.0,0.96,8.03,50,-0.125,5.53,1.14,8.19,82,0.675,33
1108,幸福,上市,49.00119248324353,-5.96,0.694,9.4,36,-0.634,-18.89,0.524,21.68,83,-0.871,47
1109,信大,上市,3.273019721982262,-1.46,0.943,11.43,53,-0.128,-7.87,0.78,14.59,77,-0.54,25
1110,東泥,上市,69.04083143274882,-3.77,0.796,8.0,37,-0.471,-3.94,0.861,10.71,64,-0.368,28
1201,味全,上市,52.14724170461273,-1.51,0.908,9.98,36,-0.151,-6.99,0.782,16.15,69,-0.433,33
1203,味王,上市,333.90603305484336,85.69,5.372,4.1,43,20.906,77.01,3.553,5.16,67,14.924,30
1210,大成,上市,1245.8969806910231,-12.5,0.504,14.49,49,-0.862,-9.95,0.737,14.53,74,-0.685,26
1213,大飲,上市,15.553901366317625,-3.72,0.777,8.31,27,-0.447,-4.49,0.849,10.79,62,-0.416,38
1215,卜蜂,上市,1793.5991194698192,-8.73,0.695,15.11,53,-0.578,-6.74,0.815,13.86,76,-0.486,23
1216,統一,上市,469.6419632700664,-14.92,0.4,16.16,54,-0.923,-26.78,0.337,26.99,80,-0.992,27
1217,愛之味,上市,9.740596571311876,-17.77,0.281,21.05,42,-0.844,-19.0,0.47,21.42,68,-0.887,26
1218,泰山,上市,171.88844998143082,-13.12,0.561,14.45,48,-0.908,-18.2,0.587,20.52,77,-0.887,29
1219,福壽,上市,167.24321432387092,-4.76,0.691,11.26,29,-0.423,-15.53,0.497,20.56,60,-0.755,31
1220,台榮,上市,2.4666760623725636,-4.51,0.703,10.62,25,-0.425,-15.43,0.538,19.63,62,-0.786,38
1225,福懋油,上市,788.8714119228787,-3.8,0.85,18.17,43,-0.209,1.74,1.057,18.99,66,0.092,25
1227,佳格,上市,321.3486005266263,-6.61,0.661,11.47,44,-0.576,-10.9,0.679,11.16,71,-0.977,28
1229,聯華,上市,784.0932199228989,6.07,1.242,6.0,56,1.012,3.59,1.087,8.27,95,0.434,39
1231,聯華食,上市,460.15752760758073,16.54,1.966,3.7,50,4.473,11.48,1.37,8.17,81,1.407,31
