code,ticker,market,name,cost,bars,start,end,net_profit_pct,profit_factor,max_dd_pct,n_trades,win_rate_pct,return_over_maxdd,sharpe,final_equity
1101,1101.TW,上市,台泥,tw_real,6573,2000-01-04,2026-06-11,2.29,1.329,4.31,16,37.5,0.532,0.09,10228.99
1102,1102.TW,上市,亞泥,tw_real,6573,2000-01-04,2026-06-11,-3.68,0.557,8.31,16,25.0,-0.443,-0.171,9631.73
1103,1103.TW,上市,嘉泥,tw_real,6573,2000-01-04,2026-06-11,-2.48,0.579,5.4,12,25.0,-0.459,-0.125,9752.21
1104,1104.TW,上市,環泥,tw_real,6573,2000-01-04,2026-06-11,0.84,1.09,5.29,18,22.22,0.158,0.034,10083.8
1108,1108.TW,上市,幸福,tw_real,6573,2000-01-04,2026-06-11,-3.35,0.588,5.17,16,31.25,-0.649,-0.126,9664.69
1109,1109.TW,上市,信大,tw_real,6573,2000-01-04,2026-06-11,-6.05,0.427,10.12,19,26.32,-0.598,-0.231,9394.58
1110,1110.TW,上市,東泥,tw_real,6573,2000-01-04,2026-06-11,3.93,1.657,3.75,12,41.67,1.047,0.172,10392.82
1201,1201.TW,上市,味全,tw_real,6573,2000-01-04,2026-06-11,-1.82,0.574,3.45,11,45.45,-0.529,-0.086,9817.87
1203,1203.TW,上市,味王,tw_real,6573,2000-01-04,2026-06-11,75.36,10.469,4.13,11,18.18,18.262,0.758,17536.37
1210,1210.TW,上市,大成,tw_real,6573,2000-01-04,2026-06-11,-5.7,0.33,7.65,13,23.08,-0.745,-0.285,9429.64
1213,1213.TW,上市,大飲,tw_real,6573,2000-01-04,2026-06-11,-2.25,0.348,3.1,5,20.0,-0.727,-0.187,9774.54
1215,1215.TW,上市,卜蜂,tw_real,6573,2000-01-04,2026-06-11,-2.77,0.679,6.07,17,35.29,-0.456,-0.115,9723.48
1216,1216.TW,上市,統一,tw_real,6573,2000-01-04,2026-06-11,-2.8,0.662,6.09,16,37.5,-0.459,-0.121,9720.26
1217,1217.TW,上市,愛之味,tw_real,6573,2000-01-04,2026-06-11,-6.03,0.0,6.03,9,0.0,-1.0,-0.588,9396.6
1218,1218.TW,上市,泰山,tw_real,6573,2000-01-04,2026-06-11,-2.83,0.77,8.94,21,19.05,-0.316,-0.104,9717.17
1219,1219.TW,上市,福壽,tw_real,6573,2000-01-04,2026-06-11,7.2,5.437,1.94,9,66.67,3.711,0.291,10720.24
1220,1220.TW,上市,台榮,tw_real,6573,2000-01-04,2026-06-11,2.62,1.522,3.91,9,44.44,0.671,0.111,10262.36
1225,1225.TW,上市,福懋油,tw_real,6573,2000-01-04,2026-06-11,2.67,1.277,9.89,18,44.44,0.27,0.077,10266.73
1227,1227.TW,上市,佳格,tw_real,6573,2000-01-04,2026-06-11,11.19,4.609,2.64,11,45.45,4.231,0.416,11118.63
1229,1229.TW,上市,聯華,tw_real,6573,2000-01-04,2026-06-11,0.34,1.03,8.7,22,36.36,0.04,0.017,10034.49
1231,1231.TW,上市,聯華食,tw_real,6573,2000-01-04,2026-06-11,2.15,1.475,4.34,14,42.86,0.495,0.09,10214.74
1232,1232.TW,上市,大統益,tw_real,6573,2000-01-04,2026-06-11,-4.56,0.206,5.28,9,11.11,-0.864,-0.322,9543.58
1233,1233.TW,上市,天仁,tw_real,6573,2000-01-04,2026-06-11,-5.41,0.016,5.99,8,12.5,-0.903,-0.426,9458.53
1234,1234.TW,上市,黑松,tw_real,6573,2000-01-04,2026-06-11,5.98,2.084,4.13,10,50.0,1.449,0.2,10597.71
1235,1235.TW,上市,興泰,tw_real,6573,2000-01-04,2026-06-11,-2.48,0.738,4.21,20,35.0,-0.588,-0.091,9752.45
1236,1236.TW,上市,宏亞,tw_real,6573,2000-01-04,2026-06-11,-4.05,0.634,9.66,18,33.33,-0.42,-0.151,9594.64
1240,1240.TWO,上櫃,茂生農經,tw_real,2159,2017-07-24,2026-06-11,1.15,1.551,2.39,6,50.0,0.479,0.116,10114.66
1256,1256.TW,上市,鮮活果汁-KY,tw_real,3354,2012-09-05,2026-06-11,2.62,2.491,1.42,8,50.0,1.852,0.257,10262.28
1259,1259.TWO,上櫃,安心,tw_real,3532,2011-12-15,2026-06-11,-0.57,0.737,2.33,5,40.0,-0.244,-0.051,9943.36
1264,1264.TWO,上櫃,德麥,tw_real,2996,2014-02-25,2026-06-11,-8.35,0.157,9.74,13,15.38,-0.857,-0.576,9165.16
1268,1268.TWO,上櫃,漢來美食,tw_real,2539,2015-12-24,2026-06-11,-1.21,0.07,1.88,3,33.33,-0.642,-0.267,9879.26
1294,1294.TWO,上櫃,漢田生技,tw_real,892,2022-09-30,2026-06-11,24.03,inf,1.23,2,100.0,19.609,1.987,12402.8
1301,1301.TW,上市,台塑,tw_real,6573,2000-01-04,2026-06-11,-8.7,0.188,10.2,15,20.0,-0.853,-0.488,9129.65
1303,1303.TW,上市,南亞,tw_real,6573,2000-01-04,2026-06-11,2.29,1.349,4.68,15,40.0,0.49,0.101,10229.34
1304,1304.TW,上市,台聚,tw_real,6573,2000-01-04,2026-06-11,5.44,1.775,3.97,18,44.44,1.372,0.195,10544.32
1305,1305.TW,上市,華夏,tw_real,6573,2000-01-04,2026-06-11,-0.34,0.948,4.03,15,46.67,-0.085,-0.007,9965.6
1307,1307.TW,上市,三芳,tw_real,6573,2000-01-04,2026-06-11,-4.96,0.451,5.2,18,27.78,-0.953,-0.22,9504.37
1308,1308.TW,上市,亞聚,tw_real,6573,2000-01-04,2026-06-11,-1.51,0.586,3.34,11,54.55,-0.453,-0.074,9848.78
1309,1309.TW,上市,台達化,tw_real,6573,2000-01-04,2026-06-11,-5.52,0.275,8.26,14,21.43,-0.668,-0.281,9448.0
1310,1310.TW,上市,台苯,tw_real,6573,2000-01-04,2026-06-11,5.84,2.888,2.76,10,50.0,2.119,0.237,10584.33
1312,1312.TW,上市,國喬,tw_real,6573,2000-01-04,2026-06-11,2.36,1.397,2.85,18,33.33,0.828,0.105,10235.95
1313,1313.TW,上市,聯成,tw_real,6573,2000-01-04,2026-06-11,-8.79,0.101,8.84,17,11.76,-0.995,-0.506,9121.04
1314,1314.TW,上市,中石化,tw_real,6573,2000-01-04,2026-06-11,-3.34,0.568,5.89,13,30.77,-0.566,-0.159,9666.43
1315,1315.TW,上市,達新,tw_real,5076,2005-09-29,2026-06-11,-3.94,0.543,6.24,13,15.38,-0.632,-0.23,9605.81
1316,1316.TW,上市,上曜,tw_real,6573,2000-01-04,2026-06-11,-6.13,0.328,8.65,14,14.29,-0.709,-0.338,9387.15
1319,1319.TW,上市,東陽,tw_real,6573,2000-01-04,2026-06-11,-4.13,0.518,6.49,17,29.41,-0.636,-0.193,9587.38
1321,1321.TW,上市,大洋,tw_real,6573,2000-01-04,2026-06-11,10.63,2.73,3.15,17,52.94,3.372,0.334,11062.76
1323,1323.TW,上市,永裕,tw_real,6573,2000-01-04,2026-06-11,-5.53,0.19,6.43,13,7.69,-0.859,-0.279,9447.35
1324,1324.TW,上市,地球,tw_real,6573,2000-01-04,2026-06-11,2.43,1.375,3.76,13,38.46,0.646,0.115,10242.64
1325,1325.TW,上市,恆大,tw_real,6573,2000-01-04,2026-06-11,14.88,4.896,1.59,13,61.54,9.333,0.564,11488.25
1326,1326.TW,上市,台化,tw_real,6573,2000-01-04,2026-06-11,5.76,2.223,3.15,15,40.0,1.831,0.215,10576.39
1336,1336.TWO,上櫃,台翰,tw_real,4517,2007-12-31,2026-06-11,1.26,1.271,2.72,8,37.5,0.463,0.079,10126.03
1337,1337.TW,上市,再生-KY,tw_real,3616,2011-08-17,2026-06-11,-4.53,0.228,4.66,8,12.5,-0.972,-0.444,9546.81
1338,1338.TW,上市,廣華-KY,tw_real,3314,2012-11-01,2026-06-11,-0.92,0.714,3.87,5,20.0,-0.238,-0.11,9907.89
1339,1339.TW,上市,昭輝,tw_real,3449,2012-04-24,2026-06-11,-5.16,0.195,6.66,8,12.5,-0.775,-0.42,9483.66
1340,1340.TW,上市,勝悅-KY,tw_real,3046,2013-12-06,2026-06-11,-4.14,0.0,4.14,5,0.0,-1.0,-0.824,9586.4
1341,1341.TW,上市,富林-KY,tw_real,1807,2018-12-24,2026-06-11,-3.75,0.005,4.92,3,33.33,-0.761,-0.265,9625.49
1342,1342.TW,上市,八貫,tw_real,1621,2019-10-07,2026-06-11,-1.33,0.0,1.62,3,0.0,-0.821,-0.251,9867.11
1402,1402.TW,上市,遠東新,tw_real,6573,2000-01-04,2026-06-11,1.89,1.401,2.75,14,50.0,0.686,0.084,10188.6
